voter.address,total_proposals,total_votes,for_votes,against_votes,weight,abstain_votes
0x9c85c376a50721c75e4e015ac22efe066dbb73ec,5,5,5,0,3.2006000000000003e+22,0
0x20dd1b41545fe1b42f55931d1f69ce04034287a2,8,8,7,0,3.200267947853084e+22,1
0x423651f76f8f7078276139d3972b6618368720b9,8,8,7,0,3.200267892707119e+22,1
0x9a4fd7efd60c37b7d7e61de3f9e642ed584df4bf,8,8,7,0,3.2002609276593675e+22,1
0x4c08c13f883e90f2bdb003c4650511493e6fa0fd,8,8,7,0,3.2002607423058784e+22,1
0x386d94480bd960ffd76981307c5e0ca1aae8d9e7,12,12,11,1,3.2000000000000004e+22,0
0xa78d2c69b34cab96cace31967afe52013dfcb604,8,8,7,0,3.1544e+22,1
0xa1403a5806e4e3ef8bcec00b9755e0c8374b7447,7,7,7,0,3.1500220494656177e+22,0
0x32a5344df0ac9d60e47029d450d3abf346cfc9cd,3,3,3,0,3.1112342781683544e+22,0
0x97f16b00d436fcd49d5911e68002f1cd4d5e47c5,5,5,3,0,3.054591948812604e+22,2
0x5d1d3ff97854e09c05192d8e4d562d8d88f64929,6,6,5,1,3.0493891725330005e+22,0
0x5b68b49d886603537f8d87aaaaae39ef801353a4,2,2,2,0,3.0249336856113e+22,0
0x8cc0c4dde8eeb8fd7266701fd6763ab71043aa52,8,8,8,0,3e+22,0
0x45c3707c25ece1e4705a5d708685f0a77dc18cd1,12,12,5,7,2.979643329013804e+22,0
0xe6118452150354c495fcb9f67bb7162f465cf273,8,8,7,0,2.9750000000000003e+22,1
0xb764113ac0c2d8e1a99bb2a69149503d9bf4f614,13,13,10,3,2.9558e+22,0
0x70f9e695823a748d0f492c86be093c220a8d487a,4,4,4,0,2.8412427792606665e+22,0
0xb88d3ade7e4231c97038f6d82475a233772ffc25,2,2,2,0,2.8018973517402144e+22,0
0x775e24ceab54f51099b4ce6cae50180422188553,12,12,11,1,2.798966630023039e+22,0
0x5723884186fbf9d186921e2a5eb337b60690e724,16,16,14,2,2.745274521575084e+22,0
0x288457ac35bbdf035845acb7f2a310bbf7a74c52,5,5,5,0,2.7417662848956585e+22,0
0xb0767b217fb1530b064bb1f835c57c047c08ae72,4,4,4,0,2.700341615102265e+22,0
0x72585952c09920406d8b6c6e2393fef1020c07d9,5,5,5,0,2.625e+22,0
0xb72fd7a051c6dbb5a8f8dc2617bc524a6ff35ba8,2,2,2,0,2.6e+22,0
0x74bf349fa9b75d8034642e8439efa3044d3120ff,9,9,7,2,2.5643391919924974e+22,0
0x2f2588acd44253312b4a94bf6753be67514a5cc6,2,2,2,0,2.56346108e+22,0
0xf0638c57f10bbca7cfa3aec62325b7319685ec45,14,14,13,0,2.555103495463431e+22,1
0xbd156afccbac9a15047fad027d70118b44f040ee,3,3,2,0,2.55e+22,1
0x95f47f78870073ad4ac1cb21d3b29038346884b4,4,4,4,0,2.5339913043578416e+22,0
0x9a88005428e7a98904eab33749afd56f6db16e27,13,13,13,0,2.526157595734476e+22,0
0x83f396e16d27bcf4ebf2431678b495943ca5ea96,5,5,1,3,2.517694092762584e+22,1
0x615bf0155190f93e5852d0e95335e19ffb2fbe40,14,14,13,1,2.510838176343405e+22,0
0x4f8d777245ba00dfb7492e81866071eeac4d45a9,2,2,2,0,2.5e+22,0
0xe12f8e5309682cdea4a3f7160fbb25d0d111d9b7,5,5,5,0,2.4975e+22,0
0xd578172dae2ea99186320edf13f2e6922a8b8f85,5,5,5,0,2.490268553083881e+22,0
0xb59123aa04bfe00039570bdcb457643583e53a0a,11,11,11,0,2.474991e+22,0
0x78225c928f1d15aefd460b84d70d35a3416dc378,16,16,12,2,2.465033836886084e+22,2
0x010dc5440ad49f9ec0dd325b622d9fd225944ee4,3,3,2,1,2.427835727267e+22,0
0x66070da7ab73f44af54afa8bcc5dc98ed5e4923a,6,6,3,1,2.400166063664417e+22,2
0xddeab6e201fd174cbc23f6683499fe56b430f022,9,9,4,5,2.4001392786776057e+22,0
0x22f78f752cc6d03b955ed2a17cdc39cf3318a1df,7,7,7,0,2.3837711958482184e+22,0
0x5a0be8812c6b30d4ba0e7715ada6e216b00199f3,5,5,5,0,2.3750000000000003e+22,0
0xa0b020859a7a1cc6471b83e9c57b5dffb0a40176,7,7,7,0,2.35e+22,0
0x8ef7db3d704a8d07cc612c9ad583e6fc4f50ae23,17,17,13,3,2.2825e+22,1
0x88841b3c47577afbadcd0d9de48fea9192f97744,17,17,13,3,2.2825e+22,1
0xb09854cefce68aa737688533e1776603602e09de,17,17,13,3,2.2825e+22,1
0x7782cd2d6d213c1665361f39b3fcd236b6d216ee,17,17,13,3,2.2825e+22,1
0x5b116630ad7a19838559b7fffbb22f4d39ca9a06,17,17,13,3,2.2825e+22,1
0xcb50b7b7e015dd21a91dfa82ff7cd2a51eead4e9,17,17,13,3,2.2825e+22,1
0x5943b60579e14816ee860673f5c1a6111bccfdf1,17,17,13,3,2.2825e+22,1
0x6ff0ec5008048e18453a4b0db705c2e59974474d,17,17,13,3,2.2825e+22,1
0x95ee2ebac03ee1a27de22515156519371f152f01,17,17,13,3,2.2825e+22,1
0xb6afee3c05120a78697ba0d786d03ea91d7622e4,17,17,12,4,2.2825e+22,1
0xbbc919eb765353cabaae9fa495ce639bf42320e2,17,17,13,3,2.2825e+22,1
